Castle Wolfenstein;Muse Software;14,696;6;0;Castle_Wolfenstein_1983_Muse_Software
Ghosts 'n Goblins;Elite;9,220;11;1;Ghosts_n_Goblins_1986_Elite
The Last Ninja (Side A);System 3;7,409;7;0;Last_Ninja_The_1987_System_3_Side_A
Choplifter!;Broderbund;6,114;4;2;Choplifter_1982_Broderbund_de
River Raid;Activision;5,721;5;1;d64_River_Raid_1984_Activision
Burger Time;Interceptor Micros;4,914;5;1;Burger_Time_1984_Interceptor_Micros
Sim City;Maxis;4,074;6;0;d64_Sim_City_1989_Maxis
The Last Ninja;System 3;3,350;3;0;Last_Ninja_The_1987_System_3
Donkey Kong Bootleg;tware;3,280;1;0;Donkey_Kong_Bootleg_19xx_-
Crazy Cars;Titus Software;2,974;1;0;Crazy_Cars_1988_Titus_Software
Altered Beast (Side A);Activision;2,915;1;0;Altered_Beast_1989_Activision_Side_A
Blue Max;Drean Commodore;2,914;3;0;Blue_Max_1985_Drean_Commodore_es
Bards Tale 1;Electronic Arts;2,675;5;0;Bards_Tale_1_1985_Electronic_Arts
Space Invaders;Keypunch Software;2,587;0;0;d64_Space_Invaders_1983_Keypunch_Software
64 Breakout;tware;2,536;1;0;64_Breakout_19xx_-
Gunship;MicroProse;2,483;1;0;Gunship_1986_MicroProse
Batman (Side A);Ocean;2,479;3;0;Batman_1989_Ocean_Side_A
Championship Lode Runner;Broderbund;2,197;3;0;Championship_Lode_Runner_1984_Broderbund
Montezuma's Revenge;Parker Brothers;2,030;5;0;d64_Montezumas_Revenge_1984_Parker_Brothers
Gauntlet;U.S. Gold;2,014;5;1;Gauntlet_1986_U.S._Gold
CoverGirl Strip Poker;The Sales Curve;1,851;0;0;CoverGirl_Strip_Poker_1992_The_Sales_Curve
1943: The Battle of Midway [h DOM];Capcom;1,690;3;0;1943_The_Battle_of_Midway_1988_Capcom_h_DOM
Turrican II: The Final Fight (Side A)[t +5];Rainbow Arts;1,661;3;0;d64_Turrican_II_The_Final_Fight_1991_Rainbow_Arts_Side_A_t_5
Kung-Fu: The Way of the Exploding Fist;Melbourne House;1,588;2;1;Kung-Fu_The_Way_of_the_Exploding_Fist_1985_Melbourne_House
Archon [h Duo Asocciates];Electronic Arts;1,571;3;0;Archon_1983_Electronic_Arts_h_Duo_Asocciates
Ghostbusters II [f NTSC Exodus][h CEN & Digital Dungeon];Activision;1,523;2;0;Ghostbusters_II_1989_Activision_f_NTSC_Exodus_h_CEN_Digital_Dungeon
Axe of Rage;Epyx;1,495;3;0;Axe_of_Rage_1988_Epyx
Back to the Future II;Imageworks;1,464;0;0;Back_to_the_Future_II_1990_Imageworks
Wings of Fury;Broderbund;1,457;1;0;d64_Wings_of_Fury_1990_Broderbund
Pacman;Donald Burden;1,401;2;0;d64_Pacman_1983_Donald_Burden
Pac-Man;Atari;1,384;2;0;d64_Pac-Man_1983_Atari
M.U.L.E.;Electronic Arts;1,377;5;0;d64_M.U.L.E._1983_Electronic_Arts
Beach Head 2 [o];Access Software;1,366;1;1;Beach_Head_2_1985_Access_Software_o
BC's Quest for Tires;Sierra Online;1,248;3;0;BCs_Quest_for_Tires_1983_Sierra_Online
Kaiser;Ariolasoft;1,191;3;0;Kaiser_1985_Ariolasoft_de
Portal (C64 Conversion);Jamie Fuller, Del Seymour, Roy Widding;1,149;0;0;portal_v1_ntsc
Rambo First Blood Part II Picture;Ocean;1,133;2;0;d64_Rambo_First_Blood_Part_II_Picture_1986_Ocean
Oregon Trail;tware;1,122;2;0;d64_Oregon_Trail_19xx_-
Decathlon [h Antirom];Activision;1,086;1;0;Decathlon_1983_Activision_h_Antirom
Battleship [h ASS];Fresh;999;1;0;Battleship_1987_Fresh_h_ASS
Sex Sex Sex (19xx)( );tware;988;1;0;Sex_Sex_Sex_19xx_-
Giana Sister's Collection 2 Gitty's Dreams 1;TSD;966;2;0;Giana_Sisters_Collection_2_Gittys_Dreams_1_19xx_TSD
Fort Apocalypse;Synapse Software;963;1;0;Fort_Apocalypse_1982_Synapse_Software
Karateka [h Dr. Meggle];Broderbund;952;4;0;Karateka_1985_Broderbund_h_Dr._Meggle
Advanced Pinball Simulator;Codemasters;950;0;0;Advanced_Pinball_Simulator_1989_Codemasters
Spy Hunter;U.S. Gold;926;1;0;d64_Spy_Hunter_1983_U.S._Gold
MULE;Electronic Arts;915;4;0;d64_MULE_1983_Electronic_Arts
Choplifter [o];Broderbund;884;1;0;Choplifter_1982_Broderbund_o
Lode Runner Com.;Doug Smith, Dane Bigham & 4711-Soft;874;3;0;Lode_Runner_Com._19xx_Doug_Smith_Dane_Bigham_4711-Soft
Lord of the Rings III;Mike Lyons & Mike Singleton;848;0;0;Lord_of_the_Rings_III_19xx_Mike_Lyons_Mike_Singleton
Oil Imperium (Side A);reLine Software;826;0;0;d64_Oil_Imperium_1994_reLine_Software_de_Side_A
Raid Over Moscow;Access Software;825;5;2;d64_Raid_Over_Moscow_1984_Access_Software
Little Computer People [a137];Activision;800;1;0;Little_Computer_People_1985_Activision_a137
Frogger;Sega;779;0;0;Frogger_1981_Sega
Bards Tale 1 (Side A)(Boot);Electronic Arts;778;1;0;Bards_Tale_1_1985_Electronic_Arts_Side_A_Boot
Wizard of Wor;Commodore;777;1;0;d64_Wizard_of_Wor_1983_Commodore
The Last Ninja 2 (Side A);System 3;768;4;0;Last_Ninja_2_The_1988_System_3_Side_A
Wonderboy;Activision;767;3;0;d64_Wonderboy_1987_Activision
Street Fighter US Version;Capcom;760;1;0;d64_Street_Fighter_US_Version_1988_Capcom
